1000, 40, 0, 0
2001, 35, 0, 0
3000, 40, 0, 0
4000, 40, 0, 0
5000, 40, 0, 0
6000, 40, 0, 0
7000, 40, 0, 0
8000, 40, 0, 0
9000, 40, 0, 0
10000, 40, 0, 0
11000, 40, 0, 0
12000, 40, 0, 0
13000, 40, 0, 0
14000, 40, 0, 0
15000, 40, 0, 0
16000, 40, 0, 0
17001, 39, 0, 0
18000, 40, 0, 0
19000, 40, 0, 0
20000, 40, 0, 0
21000, 40, 0, 0
22000, 40, 0, 0
23000, 40, 0, 0
24000, 40, 0, 0
25000, 40, 0, 0
26000, 40, 0, 0
27000, 40, 0, 0
28000, 40, 0, 0
29000, 40, 0, 0
30000, 40, 0, 0
31001, 39, 0, 0
32000, 40, 0, 0
33000, 40, 0, 0
34000, 40, 0, 0
35000, 40, 0, 0
36000, 40, 0, 0
37000, 40, 0, 0
38000, 40, 0, 0
39000, 40, 0, 0
40000, 40, 0, 0
41000, 40, 0, 0
42000, 40, 0, 0
43000, 40, 0, 0
44001, 39, 0, 0
45000, 40, 0, 0
46000, 40, 0, 0
47000, 40, 0, 0
48000, 40, 0, 0
49000, 40, 0, 0
50000, 40, 0, 0
51000, 40, 0, 0
52000, 40, 0, 0
53000, 40, 0, 0
54001, 39, 0, 0
55000, 40, 0, 0
56000, 40, 0, 0
57000, 40, 0, 0
58000, 40, 0, 0
59000, 40, 0, 0
60000, 40, 0, 0
